temp_c	humidity
28.3	94
27.8	94
27.8	94
26.7	94
25.6	100
25.0	100
24.4	94
23.9	94
25.0	100
25.0	100
25.6	93
25.6	93
25.6	93
26.7	94
26.7	88
30.0	78
31.1	69
32.8	62
31.1	58
31.1	58
28.3	58
27.8	58
27.2	73
26.1	74
25.6	73
25.6	78
25.6	88
25.0	83
24.4	88
24.4	88
25.0	88
25.0	83
25.6	94
25.6	88
25.6	88
25.6	94
25.6	94
25.6	88
28.3	88
30.0	74
27.2	69
26.1	73
25.0	78
25.0	83
30.0	61
30.0	61
28.9	61
28.9	61
27.2	69
27.2	69
26.1	73
26.1	73
25.0	83
25.0	83
25.0	83
23.9	88
23.9	88
23.9	88
22.8	94
22.8	94
22.8	94
22.8	94
23.9	88
26.1	83
27.2	78
30.0	69
31.1	62
32.2	58
32.8	55
32.2	58
23.9	94
23.9	100
23.9	100
23.9	94
23.9	100
23.9	100
23.9	94
23.9	94
23.9	94
23.9	94
23.9	94
25.0	94
26.1	83
27.2	78
27.8	73
27.8	73
28.9	69
30.0	65
30.0	65
26.1	88
26.1	88
30.0	65
28.9	58
28.3	69
30.0	69
30.0	69
30.0	65
27.2	78
23.9	94
23.9	94
23.9	94
25.0	94
